id,title,authors,year,venue,search_string,v1_decision,v1_reason,v2_decision,v2_reason
1,LLMs for Intelligent Software Testing: A Comparative Study,"Boukhlif, Mohamed; Kharmoum, Nassim; Hanine, Mohamed",2023,"Proceedings of the 7th International Conference on Networking, Intelligent Systems and Security","(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",EXCLUDE,IC5: không có kết quả thực nghiệm,,
2,Chatgpt and software testing education: Promises & perils,"Jalil, Sajed; Rafi, Suzzana; LaToza, Thomas D.; Moran, Kevin; Lam, Wing",2023,"2023 IEEE international conference on software testing, verification and validation workshops (ICSTW)","(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",INCLUDE,,EXCLUDE,EC4: bàn về ChatGPT trong giáo dục testing — không phải test generation task
3,Evaluating large language models for software testing,"Li, Yihao; Liu, Pan; Wang, Haiyang; Chu, Jie; Wong, W. Eric",2025,Computer Standards & Interfaces,"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",INCLUDE,,EXCLUDE,"EC2: không tìm được PDF full-text — trả phí, không access được"
4,An Empirical Study on How Large Language Models Impact Software Testing Learning,"Mezzaro, Simone; Gambi, Alessio; Fraser, Gordon",2024,Proceedings of the 28th International Conference on Evaluation and Assessment in Software Engineering,"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",INCLUDE,,EXCLUDE,EC4: LLM impact on testing learning/education — không phải test generation
5,Are we testing or being tested? exploring the practical applications of large language models in software testing,"Santos, Robson; Santos, Italo; Magalhaes, Cleyton; de Souza Santos, Ronnie",2024,"2024 IEEE Conference on Software Testing, Verification and Validation (ICST)","(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",INCLUDE,,EXCLUDE,EC4: cross-sectional survey về cách dùng LLM — không phải test generation
6,Ai-powered software testing: The impact of large language models on testing methodologies,"Bayrı, Vahit; Demirel, Ece",2023,2023 4th International informatics and software engineering conference (IISEC),"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",INCLUDE,,EXCLUDE,"EC2: không tìm được PDF full-text — trả phí, không access được"
7,Large Language Models for Software Testing: A Research Roadmap,"Augusto, Cristian; Bertolino, Antonia; Angelis, Guglielmo De; Lonetti, Francesca; Morán, Jesús",2025,Association for Computing Machinery (ACM),"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",EXCLUDE,,,
8,Leveraging large language models in software testing: A review of applications and challenges,"Sezgin, Anıl; Özkan, Gürkan; Coşgun, Esra",2025,2025 13th International Symposium on Digital Forensics and Security (ISDFS),"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",EXCLUDE,EC4: không liên quan test generation,,
9,"Software testing with large language models: Survey, landscape, and vision","Wang, Junjie; Huang, Yuchao; Chen, Chunyang; Liu, Zhe; Wang, Song; Wang, Qing",2024,IEEE Transactions on Software Engineering,"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",EXCLUDE,EC4: không liên quan test generation,,
10,Exploring the integration of generative ai tools in software testing education: A case study on chatgpt and copilot for preparatory testing artifacts in postgraduate learning,"Haldar, Susmita; Pierce, Mary; Capretz, Luiz Fernando",2025,IEEE Access,"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",INCLUDE,,EXCLUDE,EC4: LLM cho testing education artifacts — không phải test generation
11,The Potential of LLMs in Automating Software Testing: From Generation to Reporting,"Sherifi, Betim; Slhoub, Khaled; Nembhard, Fitzroy",2024,N/A,"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",EXCLUDE,EC4: không liên quan test generation,,
12,Challenges in Testing Large Language Model Based Software: A Faceted Taxonomy,"Dobslaw, Felix; Feldt, Robert; Yoon, Juyeon; Yoo, Shin",2026,ACM Transactions on Software Engineering and Methodology,"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",EXCLUDE,EC4: không liên quan test generation,,
13,Software Testing with Large Language Models: An Interview Study with Practitioners,"Santana, Deolinda; Magalhaes, Cleyton; de Souza Santos, Ronnie",2025,2025 2nd IEEE/ACM International Conference on AI-powered Software (AIware),"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",EXCLUDE,EC4: không liên quan test generation,,
14,Evaluating Large Language Models for Software Testing: A Systematic Review of Metrics and Practices,"Perera, V. I. T.; De Silva, D. I.",2026,Proceedings of Fifth International Conference on Computing and Communication Networks,"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",EXCLUDE,EC4: không liên quan test generation,,
15,Using LLMs to Analyze Software Requirements for Software Testing: A Comparative Study,"Boukhlif, Mohamed; Kharmoum, Nassim; Hanine, Mohamed; Lagmiri, Souad Najoua",2025,Smart Business and Technologies,"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",EXCLUDE,EC4: không liên quan test generation,,
16,Automated Software Testing through Large Language Models: Opportunities and Challenges,"Fuente, Jayson A. Dela",2022,Qubahan Techno Journal,"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",UNSURE,UNSURE: cần xác minh thêm,EXCLUDE,"Đọc full-text: Qubahan Techno Journal không thuộc danh sách peer-reviewed uy tín, không verify được IC3"
17,Software System Testing Assisted by Large Language Models: An Exploratory Study,"Augusto, Cristian; Morán, Jesús; Bertolino, Antonia; De La Riva, Claudio; Tuya, Javier",2025,Testing Software and Systems,"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",EXCLUDE,EC4: không liên quan test generation,,
18,Testing the Untestable? An Empirical Study on the Testing Process of LLM-Powered Software Systems,"Magalhaes, Cleyton; Santos, Italo; Stuart-Verner, Brody; Santos, Ronnie De Souza",2025,2025 IEEE International Conference on Source Code Analysis & Manipulation (SCAM),"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",EXCLUDE,EC4: không liên quan test generation,,
19,Harnessing large language models for automated software testing: A leap towards scalable test case generation,"Rehan, Shaheer; Al-Bander, Baidaa; Al-Said Ahmad, Amro",2025,Electronics,"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",INCLUDE,,INCLUDE,"Đọc full-text: Electronics (MDPI) 2025, thực nghiệm LLM tạo scalable test cases — đủ IC3+IC5"
20,Software Testing and LLM-based Systems-a Systematic Literature Review,"Viitanen, Vertti",2025,Helsinki University Library,"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",EXCLUDE,IC5: không có kết quả thực nghiệm,,
21,Automating gui-based software testing with gpt-3,"Zimmermann, Daniel; Koziolek, Anne",2023,"2023 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)","(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",INCLUDE,,INCLUDE,"Đọc full-text: IEEE ICSTW 2023, có thực nghiệm GPT-3 tạo GUI test — đủ IC3+IC5"
22,AI or LLM assisted software testing: a mapping study,Jaakko Tyynelä,2025,Lappeenranta–Lahti University of Technology LUT,"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",EXCLUDE,IC5: không có kết quả thực nghiệm,,
23,Automated Test Generation From Software Requirements Using an LLM: Generating Black-Box Test Cases From Real-World Automotive Software Requirements With GPT-4o,"Malmberg, Hugo",2025,School of Electrical Engineering and Computer Science,"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",UNSURE,IC5: không có kết quả thực nghiệm,EXCLUDE,"EC2: không tìm được PDF full-text — trả phí, không access được"
24,Automated test case generation from software requirements using ChatGPT: A comparison of generative methods in black-box unit testing,"Andersson, Albin; Malmeling, Axel",2024,"Department of Engineering Science, University West, Sweden","(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",UNSURE,IC5: không có kết quả thực nghiệm,EXCLUDE,"IC3: DiVA bachelor thesis, không phải peer-reviewed conference/journal — không đủ IC3"
25,Large language models and software testing,"Dewey, Marco",2024,"Stellenbosch University","(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",EXCLUDE,EC4: không liên quan test generation,,
26,Software testing with generative AI,"Winteringham, Mark",2024,N/A,"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",EXCLUDE,EC4: không liên quan test generation,,
27,Large Language Model (LLM)-Based Automation for Software Test Script Generation,"Kavuri, Srikanth",2022,Computer Fraud & Security,"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",EXCLUDE,EC2: không tìm được PDF full-text,,
28,The automation of generative AI to enhance software testing,"Soranummi, Masi; Pasanen, Roosa",2025,Tampere University of Applied Sciences,"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",EXCLUDE,EC4: không liên quan test generation,,
29,Artificial Intelligence-Driven Test Case Generation in Software Development,"Mohapatra, Partha Sarathi",2025,Intelligent Assurance: Artificial Intelligence-Powered Software Testing in the Modern Development Lifecycle,"(""test case generation"") AND (""software engineering"")",UNSURE,IC5: không có kết quả thực nghiệm,EXCLUDE,"Đọc full-text: book chapter trong Intelligent Assurance — không phải journal/conference peer-reviewed, không đủ IC3"
