id,title,authors,year,venue,search_string,v1_decision,v1_reason
1,LLMs for Intelligent Software Testing: A Comparative Study,"Boukhlif, Mohamed; Kharmoum, Nassim; Hanine, Mohamed",2023,"Proceedings of the 7th International Conference on Networking, Intelligent Systems and Security","(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",EXCLUDE,IC5 - không có kết quả thực nghiệm
2,Chatgpt and software testing education: Promises & perils,"Jalil, Sajed; Rafi, Suzzana; LaToza, Thomas D.; Moran, Kevin; Lam, Wing",2023,"2023 IEEE international conference on software testing, verification and validation workshops (ICSTW)","(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",INCLUDE,
3,Evaluating large language models for software testing,"Li, Yihao; Liu, Pan; Wang, Haiyang; Chu, Jie; Wong, W. Eric",2025,Computer Standards & Interfaces,"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",INCLUDE,
4,An Empirical Study on How Large Language Models Impact Software Testing Learning,"Mezzaro, Simone; Gambi, Alessio; Fraser, Gordon",2024,Proceedings of the 28th International Conference on Evaluation and Assessment in Software Engineering,"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",INCLUDE,
5,Are we testing or being tested? exploring the practical applications of large language models in software testing,"Santos, Robson; Santos, Italo; Magalhaes, Cleyton; de Souza Santos, Ronnie",2024,"2024 IEEE Conference on Software Testing, Verification and Validation (ICST)","(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",INCLUDE,
6,Ai-powered software testing: The impact of large language models on testing methodologies,"Bayrı, Vahit; Demirel, Ece",2023,2023 4th International informatics and software engineering conference (IISEC),"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",INCLUDE,
7,Large Language Models for Software Testing: A Research Roadmap,"Augusto, Cristian; Bertolino, Antonia; Angelis, Guglielmo De; Lonetti, Francesca; Morán, Jesús",2025,Association for Computing Machinery (ACM),"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",EXCLUDE,
8,Leveraging large language models in software testing: A review of applications and challenges,"Sezgin, Anıl; Özkan, Gürkan; Coşgun, Esra",2025,2025 13th International Symposium on Digital Forensics and Security (ISDFS),"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",EXCLUDE,"EC4: survey về LLM in testing, không focus test generation"
9,"Software testing with large language models: Survey, landscape, and vision","Wang, Junjie; Huang, Yuchao; Chen, Chunyang; Liu, Zhe; Wang, Song; Wang, Qing",2024,IEEE Transactions on Software Engineering,"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",EXCLUDE,EC4: survey/landscape — không phải test generation thực nghiệm
10,Exploring the integration of generative ai tools in software testing education: A case study on chatgpt and copilot for preparatory testing artifacts in postgraduate learning,"Haldar, Susmita; Pierce, Mary; Capretz, Luiz Fernando",2025,IEEE Access,"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",INCLUDE,
11,The Potential of LLMs in Automating Software Testing: From Generation to Reporting,"Sherifi, Betim; Slhoub, Khaled; Nembhard, Fitzroy",2024,N/A,"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",EXCLUDE,"EC4: focus LLM automation/reporting, không phải test generation"
12,Challenges in Testing Large Language Model Based Software: A Faceted Taxonomy,"Dobslaw, Felix; Feldt, Robert; Yoon, Juyeon; Yoo, Shin",2026,ACM Transactions on Software Engineering and Methodology,"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",EXCLUDE,"EC4: testing LLM-based software, không phải LLM tạo test"
13,Software Testing with Large Language Models: An Interview Study with Practitioners,"Santana, Deolinda; Magalhaes, Cleyton; de Souza Santos, Ronnie",2025,2025 2nd IEEE/ACM International Conference on AI-powered Software (AIware),"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",EXCLUDE,EC4: interview study về practitioners — không có thực nghiệm test generation
14,Evaluating Large Language Models for Software Testing: A Systematic Review of Metrics and Practices,"Perera, V. I. T.; De Silva, D. I.",2026,Proceedings of Fifth International Conference on Computing and Communication Networks,"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",EXCLUDE,EC4: systematic review về metrics — không phải test generation thực nghiệm
15,Using LLMs to Analyze Software Requirements for Software Testing: A Comparative Study,"Boukhlif, Mohamed; Kharmoum, Nassim; Hanine, Mohamed; Lagmiri, Souad Najoua",2025,Smart Business and Technologies,"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",EXCLUDE,"EC4: dùng LLM phân tích requirements, không phải tạo test"
16,Automated Software Testing through Large Language Models: Opportunities and Challenges,"Fuente, Jayson A. Dela",2022,Qubahan Techno Journal,"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",UNSURE,Cần xem thêm: title liên quan test generation bằng LLM nhưng venue Qubahan Techno Journal — cần verify peer-review
17,Software System Testing Assisted by Large Language Models: An Exploratory Study,"Augusto, Cristian; Morán, Jesús; Bertolino, Antonia; De La Riva, Claudio; Tuya, Javier",2025,Testing Software and Systems,"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",EXCLUDE,EC4: exploratory study về testing process — không focus test generation
18,Testing the Untestable? An Empirical Study on the Testing Process of LLM-Powered Software Systems,"Magalhaes, Cleyton; Santos, Italo; Stuart-Verner, Brody; Santos, Ronnie De Souza",2025,2025 IEEE International Conference on Source Code Analysis & Manipulation (SCAM),"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",EXCLUDE,EC4: testing LLM-powered systems — không phải LLM tạo test
19,Harnessing large language models for automated software testing: A leap towards scalable test case generation,"Rehan, Shaheer; Al-Bander, Baidaa; Al-Said Ahmad, Amro",2025,Electronics,"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",INCLUDE,
20,Software Testing and LLM-based Systems-a Systematic Literature Review,"Viitanen, Vertti",2025,Helsinki University Library,"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",EXCLUDE,EC4: SLR — không có kết quả thực nghiệm gốc
21,Automating gui-based software testing with gpt-3,"Zimmermann, Daniel; Koziolek, Anne",2023,"2023 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)","(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",INCLUDE,
22,AI or LLM assisted software testing: a mapping study,Jaakko Tyynelä,2025,Lappeenranta–Lahti University of Technology LUT,"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",EXCLUDE,EC4: mapping study — không có kết quả thực nghiệm gốc
23,Automated Test Generation From Software Requirements Using an LLM: Generating Black-Box Test Cases From Real-World Automotive Software Requirements With GPT-4o,"Malmberg, Hugo",2025,School of Electrical Engineering and Computer Science,"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",UNSURE,"Cần xem thêm: LLM test generation từ requirements, venue là thesis/school — cần verify IC3 và IC5"
24,Automated test case generation from software requirements using ChatGPT: A comparison of generative methods in black-box unit testing,"Andersson, Albin; Malmeling, Axel",2024,"Department of Engineering Science, University West, Sweden","(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",UNSURE,"Cần xem thêm: ChatGPT test generation, venue là university thesis — cần verify IC3 và IC5"
25,Large language models and software testing,"Dewey, Marco",2024,"Stellenbosch University","(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",EXCLUDE,"EC4: thesis/book chapter — scope rộng, không rõ thực nghiệm"
26,Software testing with generative AI,"Winteringham, Mark",2024,N/A,"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",EXCLUDE,"EC4: scope rộng, không rõ là test generation hay overview"
27,Large Language Model (LLM)-Based Automation for Software Test Script Generation,"Kavuri, Srikanth",2022,Computer Fraud & Security,"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",EXCLUDE,"EC2: Computer Fraud & Security — venue không liên quan, khó tìm PDF"
28,The automation of generative AI to enhance software testing,"Soranummi, Masi; Pasanen, Roosa",2025,Tampere University of Applied Sciences,"(""large language model"" OR ChatGPT OR GPT) AND (""software testing"")",EXCLUDE,"EC4: chapter trong sách, không rõ thực nghiệm"
29,Artificial Intelligence-Driven Test Case Generation in Software Development,"Mohapatra, Partha Sarathi",2025,Intelligent Assurance: Artificial Intelligence-Powered Software Testing in the Modern Development Lifecycle,"(""test case generation"") AND (""software engineering"")",UNSURE,Cần xem thêm: book chapter — cần verify có kết quả thực nghiệm đầy đủ (IC5) và không chỉ là overview
30,Automatic test case generation using natural language processing: A systematic mapping study,"Navarro, Jordy; Ibarra, Ronald",2025,Information and Software Technology,"(""test case generation"") AND (""software engineering"")",INCLUDE,
31,Requirement-based automated test case generation: Systematic literature review,"Farooq, M. S.; Tahreem, Tayyaba",2022,VFAST Transactions on Software Engineering,"(""test case generation"") AND (""software engineering"")",INCLUDE,
32,Automated test case generation from requirements: A systematic literature review,"Mustafa, Ahmad; Wan-Kadir, Wan MN; Ibrahim, Noraini; Shah, Muhammad Arif; Younas, Muhammad; Khan, Atif; Zareei, Mahdi; Alanazi, Faisal",2021,"Computers, Materials and Continua","(""test case generation"") AND (""software engineering"")",INCLUDE,
33,A Review of Large Language Models for Automated Test Case Generation,"Celik, Arda; Mahmoud, Qusay H.",2025,Machine Learning and Knowledge Extraction,"(""test case generation"") AND (""software engineering"")",EXCLUDE,"EC3: IRE Journals — tạp chí không rõ peer-review, có thể predatory"
34,Generative AI in software engineering: Revolutionizing test case generation and validation techniques,"Thakur, DHEERENDER; Mehra, ADITYA; Choudhary, ROHIT; Sarker, MITHUN",2023,IRE Journals,"(""test case generation"") AND (""software engineering"")",EXCLUDE,"EC3: IRE Journals — tạp chí không rõ peer-review, có thể predatory"
35,Automated Test Case Generation for Software Testing Using Generative AI,"Bandi, Ajay; Nukala, Harsha Sai Teja; Tatavarthi, Bhavya; Boggavarapu, Amulya",2025,Computers and Their Applications,"(""test case generation"") AND (""software engineering"")",INCLUDE,
36,Knowledge Graph based Automated Generation of Test Cases in Software Engineering,"Nayak, Anmol; Kesri, Vaibhav; Dubey, Rahul Kumar",2020,Proceedings of the 7th ACM IKDD CoDS and 25th COMAD,"(""test case generation"") AND (""software engineering"")",UNSURE,Cần xem thêm: Knowledge Graph (không dùng LLM?) — cần verify IC4 (liên quan LLM/BDD/Gherkin không)
37,Enhancing Automated Unit Test Generation with Large Language Models: A Systematic Literature Review,"Zhang, Junwei; Hu, Xing; Gao, Cuiyun; Xia, Xin; Li, Shanping",2026,ACM Transactions on Software Engineering and Methodology,"(""test case generation"") AND (""software engineering"")",INCLUDE,
38,Study on Automatic Software Test Case Generation,"Mulla, Nilofar; Jayakumar, Naveenkumar; Joshi, Shashank; Godse, Deepali",2025,"Proceedings of the 5th International Conference on Data Science, Machine Learning and Applications; Volume 1","(""test case generation"") AND (""software engineering"")",INCLUDE,
39,Test case generation using large language models: a systematic literature review,"Tasarsu, Murat; Tokmak, Ahmet Vedat; Catal, Cagatay",2026,Cluster Computing,"(""test case generation"") AND (""software engineering"")",INCLUDE,
40,The Future of Software Testing: AI–Powered Test Case Generation and Validation,"Baqar, Mohammad; Khanda, Rajat",2025,Intelligent Computing,"(""test case generation"") AND (""software engineering"")",UNSURE,Cần xem thêm: title review/future — cần verify có số liệu thực nghiệm (IC5) hay chỉ là opinion
41,An Ontology-Based Approach to Automated Test Case Generation,"Banerjee, Shreya; Debnath, Narayan C.; Sarkar, Anirban",2021,SN Computer Science,"(""test case generation"") AND (""software engineering"")",EXCLUDE,"EC4: ontology-based, không dùng LLM/Gherkin — không liên quan IC4"
42,Automated Test Case Generation Using Natural Language Processing,"Arya Devi, M. R.; Abdul Jabbar, P.",2026,ICT for Intelligent Systems,"(""test case generation"") AND (""software engineering"")",EXCLUDE,"EC4: NLP truyền thống (không phải LLM), ICT for Intelligent Systems"
43,Test-Case Generation with Automata-Based Software Model Checking,"Barth, Max; Jakobs, Marie-Christine",2025,Model Checking Software,"(""test case generation"") AND (""software engineering"")",EXCLUDE,EC4: automata-based model checking — không liên quan LLM/Gherkin
44,More effective test case generation with multiple tribes of AI,"Olsthoorn, Mitchell",2022,Proceedings of the ACM/IEEE 44th International Conference on Software Engineering: Companion Proceedings,"(""test case generation"") AND (""software engineering"")",EXCLUDE,"EC4: multiple AI tribes — không focus LLM/Gherkin/BDD, ICSE companion 2022"
45,Automated Unit Test Case Generation: A Systematic Literature Review,"Wang, Jason; Suleiman, Basem; Alibasa, Muhammad Johan",2025,N/A,"(""test case generation"") AND (""software engineering"")",UNSURE,Cần xem thêm: SLR không rõ venue — cần verify IC3 peer-review
46,Requirements-Based Test Generation: A Comprehensive Survey,"Yang, Zhenzhen; Huang, Rubing; Cui, Chenhui; Niu, Nan; Towey, Dave",2025,ACM Transactions on Software Engineering and Methodology,"(""test case generation"") AND (""software engineering"")",INCLUDE,
47,Automated Test Case Generation from Natural Language Requirements Using Large Language Models,"Karmouda, Ouafae; Ghaouat, Maroua; Feuilloley, Guillaume",2026,"Proceedings of the Future Technologies Conference (FTC) 2025, Volume 3","(""test case generation"") AND (""software engineering"")",INCLUDE,
48,AI-Based Automotive Test Case Generation: An Action Research Study on Integration of Generative AI into Test Automation Frameworks,"Karlsson, Albin; Lindmaa, Erik; Sun, Simin; Staron, Miroslaw",2025,"Product-Focused Software Process Improvement. Industry-, Workshop-, and Doctoral Symposium Papers","(""test case generation"") AND (""software engineering"")",INCLUDE,
49,Evaluating the Complex Reasoning and Performance Capabilities of Large Language Models for Test Case Generation: A Learning-Based Software Testing Suite for Benchmarking Generative AI in Automated Test Case Generation,"Bala Mahalingam, Vijay; Parthasarathy, Harish; Baskaran, Aakash; Chandrasekaran, Bharath; Rajeshkumar, Muthukrishnan",2026,Proceedings of the 2026 10th International Conference on Control Engineering and Artificial Intelligence,"(""test case generation"") AND (""software engineering"")",EXCLUDE,"EC4: Test-Comp competition tool — test execution/maintenance, không phải generation với LLM"
50,Advances in Automatic Software Testing: Test-Comp 2025,"Beyer, Dirk",2025,Fundamental Approaches to Software Engineering,"(""test case generation"") AND (""software engineering"")",EXCLUDE,"EC4: Test-Comp 2025 competition — automated testing tool, không phải LLM test generation"
